Vehicle Lighting System Analysis Results
==================================================

=== Initial Analysis ===
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED
Light: Low Beam | Result: PASSED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: FAILED
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
Light: Low Beam | Result: PASSED (deactivated)
