Vehicle Lighting System Analysis Results
==================================================
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: desactivated
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Low Beam | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: Right Turn | Result: desactivated
Light: Left Turn | Result: desactivated
Light: Low Beam | Result: FAILED
Light: Hazard Lights | Result: desactivated
Light: High Beam | Result: FAILED
Light: Parking Left | Result: FAILED
Light: Parking Right | Result: FAILED
Light: Right Turn | Result: desactivated
